1.0,-9e-05,0
0.99754,0.00155,0
0.9907,0.00565,0
0.98037,0.01097,0
0.96698,0.01707,0
0.95044,0.02438,0
0.93064,0.03303,0
0.90775,0.04278,0
0.88202,0.05353,0
0.8537,0.06508,0
0.82309,0.07711,0
0.79048,0.08928,0
0.75616,0.10129,0
0.72043,0.11284,0
0.68359,0.1237,0
0.64594,0.1336,0
0.60778,0.14229,0
0.56937,0.14956,0
0.53099,0.15524,0
0.49265,0.15928,0
0.45435,0.16162,0
0.41638,0.16226,0
0.37887,0.16119,0
0.34204,0.15848,0
0.30609,0.1542,0
0.2712,0.14845,0
0.2376,0.14134,0
0.20549,0.13296,0
0.17504,0.12341,0
0.14648,0.11277,0
0.11999,0.10118,0
0.09576,0.08882,0
0.07395,0.07597,0
0.05468,0.06298,0
0.03811,0.05018,0
0.02433,0.03779,0
0.01338,0.02601,0
0.00548,0.01517,0
0.00098,0.00572,0
0.0,0.0,0
0.0,0.0,0
0.00098,-0.00464,0
0.00548,-0.00928,0
0.01338,-0.01193,0
0.02433,-0.01283,0
0.03811,-0.01223,0
0.05468,-0.01042,0
0.07395,-0.00773,0
0.09576,-0.00449,0
0.11999,-0.0009,0
0.14648,0.00306,0
0.17504,0.00734,0
0.20549,0.01187,0
0.2376,0.01653,0
0.2712,0.02122,0
0.30609,0.02583,0
0.34204,0.03026,0
0.37887,0.03443,0
0.41638,0.03825,0
0.45435,0.04164,0
0.49265,0.04452,0
0.53099,0.04679,0
0.56937,0.04837,0
0.60778,0.04919,0
0.64594,0.04918,0
0.68359,0.04831,0
0.72043,0.04658,0
0.75616,0.04409,0
0.79048,0.04094,0
0.82309,0.03725,0
0.8537,0.03308,0
0.88202,0.02853,0
0.90775,0.02372,0
0.93064,0.01882,0
0.95044,0.01396,0
0.96698,0.00922,0
0.98037,0.00502,0
0.9907,0.00198,0
0.99754,0.0003,0
1.0,-0.0002,0
